Title,Proprietary_ID,Print_ISSN,URI,Online_ISSN,Access_Type,Metric_Type,Reporting_Period_Total,Jul-2020,Aug-2020,Sep-2020,Oct-2020,Nov-2020,Dec-2020,Jan-2021,Feb-2021,Mar-2021,Apr-2021,May-2021,Jun-2021
The Classical Review,CUP:CAR,0009-840X,https://www.cambridge.org/core/product/identifier/CAR/type/journal,1464-3561,Controlled,Total_Item_Investigations,1,1,0,0,0,0,0,0,0,0,0,0,0
The Classical Review,CUP:CAR,0009-840X,https://www.cambridge.org/core/product/identifier/CAR/type/journal,1464-3561,Controlled,Unique_Item_Investigations,1,1,0,0,0,0,0,0,0,0,0,0,0
British Journal of Nutrition,CUP:BJN,0007-1145,https://www.cambridge.org/core/product/identifier/BJN/type/journal,1475-2662,Controlled,Total_Item_Investigations,49,2,2,2,8,10,4,4,3,10,2,1,1
British Journal of Nutrition,CUP:BJN,0007-1145,https://www.cambridge.org/core/product/identifier/BJN/type/journal,1475-2662,Controlled,Total_Item_Requests,21,1,1,0,4,5,0,3,1,4,1,1,0
British Journal of Nutrition,CUP:BJN,0007-1145,https://www.cambridge.org/core/product/identifier/BJN/type/journal,1475-2662,Controlled,Unique_Item_Investigations,31,2,1,2,4,3,1,4,3,7,2,1,1
British Journal of Nutrition,CUP:BJN,0007-1145,https://www.cambridge.org/core/product/identifier/BJN/type/journal,1475-2662,Controlled,Unique_Item_Requests,16,1,1,0,3,2,0,3,1,3,1,1,0
Experimental Agriculture,CUP:EAG,0014-4797,https://www.cambridge.org/core/product/identifier/EAG/type/journal,1469-4441,Controlled,Total_Item_Investigations,9,1,0,0,0,0,0,1,3,2,1,0,1
Experimental Agriculture,CUP:EAG,0014-4797,https://www.cambridge.org/core/product/identifier/EAG/type/journal,1469-4441,Controlled,Total_Item_Requests,3,1,0,0,0,0,0,0,2,0,0,0,0
Experimental Agriculture,CUP:EAG,0014-4797,https://www.cambridge.org/core/product/identifier/EAG/type/journal,1469-4441,Controlled,Unique_Item_Investigations,8,1,0,0,0,0,0,1,2,2,1,0,1
Experimental Agriculture,CUP:EAG,0014-4797,https://www.cambridge.org/core/product/identifier/EAG/type/journal,1469-4441,Controlled,Unique_Item_Requests,2,1,0,0,0,0,0,0,1,0,0,0,0
