Title,Publisher,Publisher_ID,Platform,DOI,Proprietary_ID,Print_ISSN,Online_ISSN,URI,Access_Type,Metric_Type,Reporting_Period_Total,Jul-2020,Aug-2020,Sep-2020,Oct-2020,Nov-2020,Dec-2020,Jan-2021,Feb-2021,Mar-2021,Apr-2021,May-2021,Jun-2021
"The Classical Review",Cambridge University Press,,Cambridge Core,,CUP:CAR,0009-840X,1464-3561,https://www.cambridge.org/core/product/identifier/CAR/type/journal,Controlled,Total_Item_Investigations,1,1,0,0,0,0,0,0,0,0,0,0,0,
"The Classical Review",Cambridge University Press,,Cambridge Core,,CUP:CAR,0009-840X,1464-3561,https://www.cambridge.org/core/product/identifier/CAR/type/journal,Controlled,Unique_Item_Investigations,1,1,0,0,0,0,0,0,0,0,0,0,0,
"British Journal of Nutrition",Cambridge University Press,,Cambridge Core,,CUP:BJN,0007-1145,1475-2662,https://www.cambridge.org/core/product/identifier/BJN/type/journal,Controlled,Total_Item_Investigations,49,2,2,2,8,10,4,4,3,10,2,1,1,
"British Journal of Nutrition",Cambridge University Press,,Cambridge Core,,CUP:BJN,0007-1145,1475-2662,https://www.cambridge.org/core/product/identifier/BJN/type/journal,Controlled,Total_Item_Requests,21,1,1,0,4,5,0,3,1,4,1,1,0,
"British Journal of Nutrition",Cambridge University Press,,Cambridge Core,,CUP:BJN,0007-1145,1475-2662,https://www.cambridge.org/core/product/identifier/BJN/type/journal,Controlled,Unique_Item_Investigations,31,2,1,2,4,3,1,4,3,7,2,1,1,
"British Journal of Nutrition",Cambridge University Press,,Cambridge Core,,CUP:BJN,0007-1145,1475-2662,https://www.cambridge.org/core/product/identifier/BJN/type/journal,Controlled,Unique_Item_Requests,16,1,1,0,3,2,0,3,1,3,1,1,0,
"Experimental Agriculture",Cambridge University Press,,Cambridge Core,,CUP:EAG,0014-4797,1469-4441,https://www.cambridge.org/core/product/identifier/EAG/type/journal,Controlled,Total_Item_Investigations,9,1,0,0,0,0,0,1,3,2,1,0,1,
"Experimental Agriculture",Cambridge University Press,,Cambridge Core,,CUP:EAG,0014-4797,1469-4441,https://www.cambridge.org/core/product/identifier/EAG/type/journal,Controlled,Total_Item_Requests,3,1,0,0,0,0,0,0,2,0,0,0,0,
"Experimental Agriculture",Cambridge University Press,,Cambridge Core,,CUP:EAG,0014-4797,1469-4441,https://www.cambridge.org/core/product/identifier/EAG/type/journal,Controlled,Unique_Item_Investigations,8,1,0,0,0,0,0,1,2,2,1,0,1,
"Experimental Agriculture",Cambridge University Press,,Cambridge Core,,CUP:EAG,0014-4797,1469-4441,https://www.cambridge.org/core/product/identifier/EAG/type/journal,Controlled,Unique_Item_Requests,2,1,0,0,0,0,0,0,1,0,0,0,0,
"Journal of Fluid Mechanics",Cambridge University Press,,Cambridge Core,,CUP:FLM,0022-1120,1469-7645,https://www.cambridge.org/core/product/identifier/FLM/type/journal,Controlled,Total_Item_Investigations,203,3,6,5,5,9,4,6,41,114,2,4,4,
"Journal of Fluid Mechanics",Cambridge University Press,,Cambridge Core,,CUP:FLM,0022-1120,1469-7645,https://www.cambridge.org/core/product/identifier/FLM/type/journal,Controlled,Unique_Item_Investigations,167,3,4,5,5,7,4,3,35,92,2,3,4,
"Journal of Fluid Mechanics",Cambridge University Press,,Cambridge Core,,CUP:FLM,0022-1120,1469-7645,https://www.cambridge.org/core/product/identifier/FLM/type/journal,Controlled,Total_Item_Requests,6,0,2,0,0,1,0,2,0,0,0,1,0,
"Journal of Fluid Mechanics",Cambridge University Press,,Cambridge Core,,CUP:FLM,0022-1120,1469-7645,https://www.cambridge.org/core/product/identifier/FLM/type/journal,Controlled,Unique_Item_Requests,5,0,1,0,0,1,0,2,0,0,0,1,0,
"International Journal of Tropical Insect Science",Cambridge University Press,,Cambridge Core,,CUP:JTI,1742-7584,1742-7592,https://www.cambridge.org/core/product/identifier/JTI/type/journal,Controlled,Total_Item_Investigations,2,1,0,0,0,0,1,0,0,0,0,0,0,
"International Journal of Tropical Insect Science",Cambridge University Press,,Cambridge Core,,CUP:JTI,1742-7584,1742-7592,https://www.cambridge.org/core/product/identifier/JTI/type/journal,Controlled,Unique_Item_Investigations,2,1,0,0,0,0,1,0,0,0,0,0,0,
"The Journal of African History",Cambridge University Press,,Cambridge Core,,CUP:AFH,0021-8537,1469-5138,https://www.cambridge.org/core/product/identifier/AFH/type/journal,Controlled,Total_Item_Investigations,7,2,0,0,2,0,0,0,0,0,3,0,0,
"The Journal of African History",Cambridge University Press,,Cambridge Core,,CUP:AFH,0021-8537,1469-5138,https://www.cambridge.org/core/product/identifier/AFH/type/journal,Controlled,Unique_Item_Investigations,7,2,0,0,2,0,0,0,0,0,3,0,0,
"The Journal of Agricultural Science",Cambridge University Press,,Cambridge Core,,CUP:AGS,0021-8596,1469-5146,https://www.cambridge.org/core/product/identifier/AGS/type/journal,Controlled,Total_Item_Investigations,9,1,0,1,0,0,1,0,2,1,0,0,3,
"The Journal of Agricultural Science",Cambridge University Press,,Cambridge Core,,CUP:AGS,0021-8596,1469-5146,https://www.cambridge.org/core/product/identifier/AGS/type/journal,Controlled,Unique_Item_Investigations,8,1,0,1,0,0,1,0,2,1,0,0,2,
"The Journal of Agricultural Science",Cambridge University Press,,Cambridge Core,,CUP:AGS,0021-8596,1469-5146,https://www.cambridge.org/core/product/identifier/AGS/type/journal,Controlled,Total_Item_Requests,1,0,0,0,0,0,0,0,0,0,0,0,1,
"The Journal of Agricultural Science",Cambridge University Press,,Cambridge Core,,CUP:AGS,0021-8596,1469-5146,https://www.cambridge.org/core/product/identifier/AGS/type/journal,Controlled,Unique_Item_Requests,1,0,0,0,0,0,0,0,0,0,0,0,1,
"MRS Bulletin",Cambridge University Press,,Cambridge Core,,CUP:MRS,0883-7694,1938-1425,https://www.cambridge.org/core/product/identifier/MRS/type/journal,Controlled,Total_Item_Investigations,20,3,0,2,2,0,10,0,2,1,0,0,0,
"MRS Bulletin",Cambridge University Press,,Cambridge Core,,CUP:MRS,0883-7694,1938-1425,https://www.cambridge.org/core/product/identifier/MRS/type/journal,Controlled,Total_Item_Requests,8,1,0,0,0,0,7,0,0,0,0,0,0,
"MRS Bulletin",Cambridge University Press,,Cambridge Core,,CUP:MRS,0883-7694,1938-1425,https://www.cambridge.org/core/product/identifier/MRS/type/journal,Controlled,Unique_Item_Investigations,12,2,0,2,1,0,5,0,1,1,0,0,0,
"MRS Bulletin",Cambridge University Press,,Cambridge Core,,CUP:MRS,0883-7694,1938-1425,https://www.cambridge.org/core/product/identifier/MRS/type/journal,Controlled,Unique_Item_Requests,4,1,0,0,0,0,3,0,0,0,0,0,0,
"MRS Online Proceedings Library Archive",Cambridge University Press,,Cambridge Core,,CUP:OPL,0272-9172,1946-4274,https://www.cambridge.org/core/product/identifier/OPL/type/journal,Controlled,Total_Item_Investigations,17,2,0,1,2,1,0,3,1,3,0,2,2,
"MRS Online Proceedings Library Archive",Cambridge University Press,,Cambridge Core,,CUP:OPL,0272-9172,1946-4274,https://www.cambridge.org/core/product/identifier/OPL/type/journal,Controlled,Unique_Item_Investigations,15,2,0,1,2,1,0,3,1,2,0,2,1,
"Proceedings of the Nutrition Society",Cambridge University Press,,Cambridge Core,,CUP:PNS,0029-6651,1475-2719,https://www.cambridge.org/core/product/identifier/PNS/type/journal,Controlled,Total_Item_Investigations,42,4,2,1,2,3,1,3,4,9,8,0,5,
"Proceedings of the Nutrition Society",Cambridge University Press,,Cambridge Core,,CUP:PNS,0029-6651,1475-2719,https://www.cambridge.org/core/product/identifier/PNS/type/journal,Controlled,Total_Item_Requests,19,2,0,0,1,2,0,2,4,3,2,0,3,
"Proceedings of the Nutrition Society",Cambridge University Press,,Cambridge Core,,CUP:PNS,0029-6651,1475-2719,https://www.cambridge.org/core/product/identifier/PNS/type/journal,Controlled,Unique_Item_Investigations,29,2,2,1,1,3,1,2,1,5,8,0,3,
"Proceedings of the Nutrition Society",Cambridge University Press,,Cambridge Core,,CUP:PNS,0029-6651,1475-2719,https://www.cambridge.org/core/product/identifier/PNS/type/journal,Controlled,Unique_Item_Requests,14,1,0,0,1,2,0,2,1,3,2,0,2,
"International Psychogeriatrics",Cambridge University Press,,Cambridge Core,,CUP:IPG,1041-6102,1741-203X,https://www.cambridge.org/core/product/identifier/IPG/type/journal,Controlled,Total_Item_Investigations,3,1,0,0,0,2,0,0,0,0,0,0,0,
"International Psychogeriatrics",Cambridge University Press,,Cambridge Core,,CUP:IPG,1041-6102,1741-203X,https://www.cambridge.org/core/product/identifier/IPG/type/journal,Controlled,Total_Item_Requests,2,1,0,0,0,1,0,0,0,0,0,0,0,
"International Psychogeriatrics",Cambridge University Press,,Cambridge Core,,CUP:IPG,1041-6102,1741-203X,https://www.cambridge.org/core/product/identifier/IPG/type/journal,Controlled,Unique_Item_Investigations,2,1,0,0,0,1,0,0,0,0,0,0,0,
"International Psychogeriatrics",Cambridge University Press,,Cambridge Core,,CUP:IPG,1041-6102,1741-203X,https://www.cambridge.org/core/product/identifier/IPG/type/journal,Controlled,Unique_Item_Requests,2,1,0,0,0,1,0,0,0,0,0,0,0,
"Expert Reviews in Molecular Medicine",Cambridge University Press,,Cambridge Core,,CUP:ERM,,1462-3994,https://www.cambridge.org/core/product/identifier/ERM/type/journal,Controlled,Total_Item_Investigations,3,1,0,0,0,0,0,0,0,0,1,0,1,
"Expert Reviews in Molecular Medicine",Cambridge University Press,,Cambridge Core,,CUP:ERM,,1462-3994,https://www.cambridge.org/core/product/identifier/ERM/type/journal,Controlled,Unique_Item_Investigations,3,1,0,0,0,0,0,0,0,0,1,0,1,
"Expert Reviews in Molecular Medicine",Cambridge University Press,,Cambridge Core,,CUP:ERM,,1462-3994,https://www.cambridge.org/core/product/identifier/ERM/type/journal,Controlled,Total_Item_Requests,1,0,0,0,0,0,0,0,0,0,1,0,0,
"Expert Reviews in Molecular Medicine",Cambridge University Press,,Cambridge Core,,CUP:ERM,,1462-3994,https://www.cambridge.org/core/product/identifier/ERM/type/journal,Controlled,Unique_Item_Requests,1,0,0,0,0,0,0,0,0,0,1,0,0,
"Renewable Agriculture and Food Systems",Cambridge University Press,,Cambridge Core,,CUP:RAF,1742-1705,1742-1713,https://www.cambridge.org/core/product/identifier/RAF/type/journal,Controlled,Total_Item_Investigations,17,1,0,0,1,2,0,0,1,1,1,1,9,
"Renewable Agriculture and Food Systems",Cambridge University Press,,Cambridge Core,,CUP:RAF,1742-1705,1742-1713,https://www.cambridge.org/core/product/identifier/RAF/type/journal,Controlled,Unique_Item_Investigations,14,1,0,0,1,2,0,0,1,1,1,1,6,
"Renewable Agriculture and Food Systems",Cambridge University Press,,Cambridge Core,,CUP:RAF,1742-1705,1742-1713,https://www.cambridge.org/core/product/identifier/RAF/type/journal,Controlled,Total_Item_Requests,10,0,0,0,0,0,0,0,1,0,0,1,8,
"Renewable Agriculture and Food Systems",Cambridge University Press,,Cambridge Core,,CUP:RAF,1742-1705,1742-1713,https://www.cambridge.org/core/product/identifier/RAF/type/journal,Controlled,Unique_Item_Requests,7,0,0,0,0,0,0,0,1,0,0,1,5,
"Microscopy and Microanalysis",Cambridge University Press,,Cambridge Core,,CUP:MAM,1431-9276,1435-8115,https://www.cambridge.org/core/product/identifier/MAM/type/journal,Controlled,Total_Item_Investigations,27,1,2,2,7,3,1,0,10,0,0,0,1,
